#{"t_start": 1745836911.2286165, "env_id": "None"}
r,l,t
-107.944621,24,37.379559
-232.947926,24,37.405395
-96.508138,24,37.433956
-89.771918,24,37.461251
-93.382866,24,37.487634
-52.832911,24,37.515514
-74.256275,24,37.543287
-82.906613,24,37.570148
-74.17513,24,37.601406
-218.30867,24,37.636886
-99.431449,24,37.666539
-81.52969,24,37.701217
-75.512057,24,37.734573
-60.688571,24,37.765104
-79.041486,24,37.797425
81.9936,24,37.869498
56.2608,24,37.908778
59.0112,24,37.950917
25.4448,24,37.985366
83.8944,24,38.020735
64.2816,24,38.052688
46.7568,24,38.088092
73.44,24,38.123042
54.8352,24,38.154139
55.4832,24,38.18909
53.1072,24,38.221215
66.1104,24,38.255249
43.4448,24,38.29536
37.728,24,38.331489
54.4608,24,38.36457
58.1184,24,38.40447
54.5184,24,38.438853
57.1104,24,38.473576
53.28,24,38.509305
49.3488,24,38.547705
-63.488938,24,38.632698
-68.568126,24,38.671057
-78.127948,24,38.70627
-60.125091,24,38.742346
-64.911253,24,38.774201
-12.767866,24,38.80772
-62.107138,24,38.838478
-54.323076,24,38.872786
-73.235269,24,38.912234
-72.664269,24,38.954203
-47.508307,24,38.985107
-77.722273,24,39.020649
-78.693009,24,39.050371
-62.477014,24,39.086259
-51.780936,24,39.124315
-57.765857,24,39.158698
-75.384969,24,39.189787
-110.447559,24,39.222394
-115.914152,24,39.257173
-64.599831,24,39.28994
-175.408405,24,39.359891
-56.001251,24,39.402419
-133.997127,24,39.445795
-122.834649,24,39.485252
-55.087074,24,39.524223
-77.319817,24,39.561159
-117.057038,24,39.59338
-141.906754,24,39.628254
-65.477147,24,39.676566
-116.190679,24,39.724166
-106.637477,24,39.770543
-113.044098,24,39.806522
65.395503,24,39.845848
-59.551951,24,39.893625
-68.947933,24,39.954892
-113.188815,24,40.00744
-131.647568,24,40.055146
63.87923,24,40.091409
-6.024107,24,40.123248
-106.637477,24,40.163172
-87.973451,24,40.229056
-73.665656,24,40.269042
-51.557201,24,40.304987
-75.781527,24,40.339537
-77.432036,24,40.374209
-48.745642,24,40.410537
-102.508725,24,40.442445
-128.336375,24,40.482157
-60.125091,24,40.518003
-104.611573,24,40.556144
-115.767173,24,40.588445
-65.327766,24,40.624472
-55.087074,24,40.663529
-75.512057,24,40.694607
-86.692844,24,40.730705
-65.721221,24,40.764762
-67.42444,24,40.803356
-73.785115,24,40.844112
-81.629864,24,40.886738
-46.497971,24,40.939068
64.2816,24,41.006067
49.0608,24,41.051156
56.16,24,41.0909
43.7904,24,41.123025
39.6432,24,41.156891
66.528,24,41.192505
48.4704,24,41.221309
76.4784,24,41.248036
38.6352,24,41.277482
58.1184,24,41.305794
45.0864,24,41.341017
87.6096,24,41.369977
57.1104,24,41.397188
41.8752,24,41.426584
25.4448,24,41.460447
77.7168,24,41.489449
92.0592,24,41.519616
49.2768,24,41.549942
72.144,24,41.575841
47.52,24,41.611976
45.5184,24,41.676494
53.2944,24,41.707973
53.208,24,41.740231
47.6352,24,41.76949
87.6096,24,41.804392
61.8048,24,41.839983
47.52,24,41.876808
77.331108,24,41.927594
79.9776,24,41.971497
57.424935,24,42.009823
46.6416,24,42.056632
45.885733,24,42.112882
60.4368,24,42.163863
93.989274,24,42.203242
41.976,24,42.245924
56.0736,24,42.300648
56.9232,24,42.341625
44.064,24,42.385159
52.5888,24,42.42873
39.5712,24,42.468369
52.7328,24,42.551568
47.1312,24,42.584971
-12.544986,24,42.614048
51.5088,24,42.645529
82.9872,24,42.674625
46.3104,24,42.708432
55.728,24,42.743146
-33.151421,24,42.770394
-8.907987,24,42.801333
59.0112,24,42.826476
-27.369225,24,42.851633
70.0416,24,42.888024
64.9008,24,42.926753
14.960909,24,42.962415
-12.544986,24,42.986964
59.112,24,43.013407
-20.087617,24,43.040545
-27.369225,24,43.075517
46.3104,24,43.110933
-117.010147,24,43.139102
-297.32544,24,43.203231
-555.32304,24,43.236581
-616.33008,24,43.267817
-218.45304,24,43.301501
