time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
356,8544,-97.54148227,29,24.0,287,8443,762.9624633789062,0.0003,-9.061674118041992,10.161227226257324,18035.265625
360,8640,-101.41088941999999,29,24.0,291,8539,792.4520263671875,0.0003,-11.857889175415039,10.445453643798828,18115.234375
364,8736,-101.30145207,29,24.0,294,8635,798.8121948242188,0.0003,-8.96248722076416,10.727566719055176,21047.5234375
368,8832,-104.3997379,29,24.0,297,8731,801.125,0.0003,-9.811673164367676,11.019558906555176,26560.54296875
372,8928,-108.13232982000001,29,24.0,301,8827,826.1394653320312,0.0003,-9.139068603515625,11.317593574523926,24295.306640625
376,9024,-109.19064124999998,29,24.0,304,8923,862.706787109375,0.0003,-10.377593994140625,11.623608589172363,19353.5625
380,9120,-114.55227331,29,24.0,308,9019,858.783935546875,0.0003,-10.754861831665039,11.944157600402832,24516.900390625
384,9216,-116.73267637000001,29,24.0,312,9115,888.2108764648438,0.0003,-11.246297836303711,12.272991180419922,21240.4296875
388,9312,-116.29289813000001,29,24.0,315,9211,921.6685791015625,0.0003,-10.840106010437012,12.612175941467285,23143.48046875
392,9408,-117.18822609,29,24.0,318,9307,926.28173828125,0.0003,-9.989709854125977,12.958853721618652,23062.07421875
396,9504,-120.71715301999998,29,24.0,322,9403,946.5579833984375,0.0003,-12.16629695892334,13.317232131958008,19429.328125
400,9600,-124.08095750000001,29,24.0,325,9499,989.128173828125,0.0003,-10.464750289916992,13.684608459472656,36864.6875
404,9696,-125.91459082,29,24.0,328,9595,986.5753173828125,0.0003,-11.333818435668945,14.053987503051758,35657.70703125
408,9792,-125.56956584999998,29,24.0,332,9691,996.2911376953125,0.0003,-10.517216682434082,14.439784049987793,32729.25
412,9888,-123.73937001999997,29,24.0,335,9787,1039.1248779296875,0.0003,-10.937338829040527,14.844964027404785,43043.546875
416,9984,-127.46252430000004,29,24.0,339,9883,1048.0418701171875,0.0003,-14.054349899291992,15.254313468933105,35671.1953125
420,10080,-129.90644514,29,24.0,342,9979,1072.32568359375,0.0003,-10.324118614196777,15.688268661499023,21440.03125
424,10176,-132.48041877,29,24.0,345,10075,1105.5928955078125,0.0003,-11.126236915588379,16.116445541381836,46546.8515625
428,10272,-134.47534079000002,29,24.0,349,10171,1131.6607666015625,0.0003,-12.091651916503906,16.56247901916504,35050.5546875
432,10368,-135.79460666,29,24.0,352,10267,1163.497802734375,0.0003,-11.416440963745117,17.025257110595703,40811.2421875
436,10464,-139.28760145,29,24.0,355,10363,1187.503173828125,0.0003,-12.06495189666748,17.4934139251709,44926.23046875
440,10560,-136.27711864000003,29,24.0,358,10459,1219.0587158203125,0.0003,-12.644686698913574,17.986148834228516,57089.609375
444,10656,-129.79781096,29,24.0,364,10555,1220.8465576171875,0.0003,-11.66230297088623,18.49216651916504,43605.2421875
448,10752,-133.02422397,29,24.0,368,10651,1279.8162841796875,0.0003,-13.131162643432617,19.0123291015625,48908.7890625
452,10848,-131.28297972000001,29,24.0,371,10747,1278.542236328125,0.0003,-11.6881742477417,19.53867530822754,67361.21875
456,10944,-132.74122762000002,29,24.0,374,10843,1318.0819091796875,0.0003,-12.62959098815918,20.0917911529541,72073.671875
460,11040,-132.72764969,29,24.0,378,10939,1339.5201416015625,0.0003,-12.489534378051758,20.65471076965332,68683.640625
464,11136,-136.62248466,29,24.0,382,11035,1401.94580078125,0.0003,-13.702232360839844,21.24199676513672,82173.59375
468,11232,-139.05858177,29,24.0,385,11131,1403.958251953125,0.0003,-11.991756439208984,21.85639762878418,77847.109375
472,11328,-137.66969836,29,24.0,389,11227,1457.9862060546875,0.0003,-13.207447052001953,22.48084259033203,65027.58984375
476,11424,-138.57450873,29,24.0,392,11323,1484.3990478515625,0.0003,-13.861103057861328,23.109268188476562,88310.109375
480,11520,-138.64845032,29,24.0,395,11419,1532.034423828125,0.0003,-13.238216400146484,23.749801635742188,90211.5625
484,11616,-136.31214346,29,24.0,398,11515,1547.1656494140625,0.0003,-12.916101455688477,24.41330337524414,102646.09375
488,11712,-137.50567386,29,24.0,402,11611,1597.3607177734375,0.0003,-11.33023738861084,25.10898780822754,65748.4375
492,11808,-140.35742594,29,24.0,406,11707,1630.6171875,0.0003,-11.28721809387207,25.834125518798828,57855.3671875
496,11904,-137.53861726,29,24.0,409,11803,1696.0218505859375,0.0003,-13.457022666931152,26.585290908813477,129039.0703125
500,12000,-137.76656914,29,24.0,412,11899,1717.4447021484375,0.0003,-13.450017929077148,27.34099578857422,131514.78125
504,12096,-137.42434366,29,24.0,415,11995,1814.156005859375,0.0003,-13.676334381103516,28.11641502380371,81475.21875
508,12192,-145.12798249,29,24.0,418,12091,1803.6337890625,0.0003,-14.696579933166504,28.92424774169922,77235.5390625
512,12288,-146.48448078,29,24.0,421,12187,1895.0546875,0.0003,-14.201078414916992,29.763778686523438,105967.203125
516,12384,-147.60694339,29,24.0,424,12283,1906.0809326171875,0.0003,-12.810315132141113,30.607580184936523,70691.28125
520,12480,-152.32421578,29,24.0,428,12379,1950.264892578125,0.0003,-13.976886749267578,31.487688064575195,83277.390625
524,12576,-150.40284899,29,24.0,431,12475,1983.67822265625,0.0003,-12.989156723022461,32.35935592651367,125716.1015625
528,12672,-150.94651468,29,24.0,434,12571,2012.15283203125,0.0003,-12.238630294799805,33.27277755737305,123039.4375
532,12768,-152.14721361000002,29,24.0,437,12667,2086.54150390625,0.0003,-16.440689086914062,34.22157287597656,163758.9375
536,12864,-150.05379317,29,24.0,440,12763,2164.10302734375,0.0003,-14.02579116821289,35.19373321533203,202169.625
540,12960,-151.21756306999998,29,24.0,443,12859,2179.859375,0.0003,-13.273025512695312,36.189369201660156,227259.25
544,13056,-156.81191611000003,29,24.0,446,12955,2290.659912109375,0.0003,-17.39743423461914,37.212459564208984,135331.15625
548,13152,-161.54552794,29,24.0,449,13051,2319.42529296875,0.0003,-17.12504768371582,38.29148864746094,154698.8125
552,13248,-164.79790979000006,29,24.0,452,13147,2365.94873046875,0.0003,-14.317729949951172,39.38485336303711,184933.625
556,13344,-162.22917524000002,29,24.0,455,13243,2425.27587890625,0.0003,-14.410651206970215,40.50489807128906,194268.875
560,13440,-165.67745995,29,24.0,458,13339,2470.5419921875,0.0003,-15.32079029083252,41.672332763671875,168028.453125
564,13536,-166.134066,29,24.0,461,13435,2547.864013671875,0.0003,-14.26014518737793,42.86235427856445,141640.53125
