#{"t_start": 1745855726.9573295, "env_id": "None"}
r,l,t
55.4112,24,644.678845
55.728,24,645.454448
144.643882,24,646.193839
68.635859,24,646.952685
59.8464,24,647.726451
49.431168,24,648.538473
83.8944,24,649.283688
68.267629,24,650.042294
62.3232,24,650.802327
57.22218,24,651.604123
67.5648,24,652.361718
108.50041,24,653.115288
68.672004,24,653.889446
118.777071,24,654.656281
62.318018,24,655.433333
87.858609,24,656.208167
103.092173,24,656.952917
72.29431,24,657.724659
55.296,24,658.504853
129.395901,24,659.244535
82.096682,24,659.967991
71.195887,24,660.774178
55.407826,24,661.5359
101.083432,24,662.272561
69.826429,24,663.034098
89.028849,24,663.818271
32.508648,24,664.594163
52.151425,24,665.343508
92.940627,24,666.087787
73.466867,24,666.851261
58.1328,24,667.636685
63.689874,24,668.389575
107.152348,24,669.144079
45.114665,24,669.93202
191.86644,24,670.734244
-21.84366,24,671.480817
83.985946,24,672.234047
71.75518,24,673.010594
36.911166,24,673.80398
83.434796,24,674.577313
55.5984,24,675.320031
124.002036,24,676.095043
70.244155,24,676.837164
56.734434,24,677.619391
78.490509,24,678.399304
58.2768,24,679.19436
55.3824,24,679.95152
110.930754,24,680.712315
49.806411,24,681.514519
65.20204,24,682.260035
54.072,24,683.023236
60.953129,24,683.827254
55.5984,24,684.607539
83.880981,24,685.355453
61.8048,24,686.108846
78.181894,24,686.869777
62.9856,24,687.645453
169.058647,24,688.618501
104.346978,24,689.467289
64.0944,24,690.248869
82.8576,24,691.016731
60.1632,24,691.796536
49.743495,24,692.548511
66.906148,24,693.315713
120.501474,24,694.18133
110.098355,24,694.98006
67.7808,24,695.757356
58.74599,24,696.507751
46.814974,24,697.287203
89.063903,24,698.069412
59.0112,24,698.936739
61.632,24,699.714814
55.272857,24,700.461512
51.115611,24,701.278612
49.789662,24,702.06808
115.414876,24,702.831843
113.012502,24,703.633734
84.384,24,704.387538
87.6096,24,705.143699
67.859302,24,705.890975
53.424,24,706.662432
56.7504,24,707.420576
71.941223,24,708.19187
124.60341,24,708.933036
64.194127,24,709.716923
94.562419,24,710.482091
116.37018,24,711.248618
67.200051,24,712.02431
34.515084,24,712.813365
118.374822,24,713.590673
53.810181,24,714.334265
52.184295,24,715.090229
64.4832,24,715.865645
55.1232,24,716.644291
149.006421,24,717.370557
93.432309,24,718.141648
41.601756,24,718.904995
42.36324,24,719.703559
63.6192,24,720.47621
57.0096,24,721.231558
55.5984,24,722.00538
72.8064,24,722.853541
54.966079,24,723.609074
71.157894,24,724.357059
59.743805,24,725.142736
84.531301,24,725.911753
178.189436,24,726.680732
74.47308,24,727.434411
69.31411,24,728.233115
60.861728,24,729.098268
46.264435,24,729.913103
90.864399,24,730.668259
83.952,24,731.436047
79.159746,24,732.206145
55.2096,24,732.986544
57.744,24,733.762423
57.9888,24,734.543373
52.405187,24,735.300978
58.600553,24,736.168244
83.952,24,736.935936
75.591197,24,737.731115
67.155417,24,738.477582
52.494892,24,739.247112
134.345474,24,739.992658
59.0112,24,740.771069
109.244508,24,741.602101
74.49269,24,742.367206
42.842642,24,743.136034
59.112,24,743.887381
77.254482,24,744.693428
57.024,24,745.460816
50.990724,24,746.240982
54.9936,24,747.027198
100.694864,24,747.814129
55.323081,24,748.722116
48.011329,24,749.608862
68.2416,24,750.396237
51.57574,24,751.253297
70.0416,24,752.006757
92.88,24,752.74498
122.578613,24,753.505491
54.9936,24,754.295718
68.2416,24,755.073506
96.887478,24,755.87
115.246271,24,756.664101
60.541244,24,757.448535
120.480058,24,758.212147
63.367485,24,759.000871
-39.463224,24,759.830475
63.6192,24,760.636428
57.9888,24,761.417065
57.572578,24,762.159082
56.16,24,762.936634
81.9936,24,763.734305
63.056327,24,764.503722
81.217563,24,765.272297
45.768975,24,766.053616
72.488995,24,766.84586
45.130738,24,767.616299
75.406682,24,768.361094
118.493915,24,769.178389
62.558503,24,769.958655
89.946513,24,770.718834
42.330758,24,771.447716
61.8048,24,772.197122
62.477766,24,772.972889
68.757619,24,773.736573
51.5088,24,774.53109
93.809358,24,775.287908
98.747159,24,776.050948
71.144756,24,776.892009
