time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
580,13920,64.91644729000001,31,24.0,446,13819,-12.164629936218262,0.0003,-0.2971930205821991,0.1445433795452118,14.423284530639648
584,14016,65.04500290000001,31,24.0,449,13915,-12.765226364135742,0.0003,-0.10435070097446442,0.14499150216579437,20.450271606445312
588,14112,64.53059772,31,24.0,452,14011,-15.510456085205078,0.0003,-0.01799139194190502,0.14496731758117676,11.566332817077637
592,14208,65.12712639,31,24.0,455,14107,-16.973491668701172,0.0003,0.2204723060131073,0.14601866900920868,27.56792449951172
596,14304,65.24730596,31,24.0,458,14203,-11.172921180725098,0.0003,0.0959278792142868,0.14606566727161407,17.636993408203125
600,14400,65.78027287,31,24.0,461,14299,-15.315449714660645,0.0003,0.08797819912433624,0.14680343866348267,10.018043518066406
604,14496,66.79320917,31,24.0,465,14395,-11.61561393737793,0.0003,-0.019720841199159622,0.14621280133724213,40.50209045410156
608,14592,67.16212560999999,31,24.0,468,14491,-13.944024085998535,0.0003,-0.12328138947486877,0.1461867094039917,10.288419723510742
612,14688,67.86864351999999,31,24.0,471,14587,-13.183290481567383,0.0003,-0.07475895434617996,0.1454237401485443,12.97425651550293
616,14784,68.39924213,31,24.0,474,14683,-15.480155944824219,0.0003,0.19213226437568665,0.14514754712581635,37.1674919128418
620,14880,68.90196098999999,31,24.0,477,14779,-14.434497833251953,0.0003,-0.17958447337150574,0.14508171379566193,5.856428146362305
624,14976,68.29626684,31,24.0,480,14875,-13.258153915405273,0.0003,0.11706667393445969,0.14450281858444214,13.581607818603516
628,15072,68.05125525,31,24.0,483,14971,-16.770931243896484,0.0003,0.20870383083820343,0.14440499246120453,15.02210521697998
632,15168,67.93223276999998,31,24.0,486,15067,-16.3271484375,0.0003,0.1873338520526886,0.14523324370384216,22.729999542236328
636,15264,68.94592996,31,24.0,489,15163,-18.608699798583984,0.0003,-0.13482868671417236,0.14557519555091858,10.66981315612793
640,15360,68.07151438000001,31,24.0,493,15259,-11.09437084197998,0.0003,-0.2196568101644516,0.14575700461864471,17.15624237060547
644,15456,68.63157569,31,24.0,496,15355,-13.51695442199707,0.0003,0.10177232325077057,0.14543209969997406,15.591859817504883
648,15552,69.67924445,31,24.0,499,15451,-15.793437957763672,0.0003,0.13807792961597443,0.14656154811382294,52.96088409423828
652,15648,71.31927913,31,24.0,502,15547,-15.137222290039062,0.0003,-0.3155497610569,0.14803636074066162,9.658332824707031
656,15744,72.63664378,31,24.0,505,15643,-13.098902702331543,0.0003,-0.03586545214056969,0.14869756996631622,87.44613647460938
660,15840,73.65400617,31,24.0,508,15739,-12.822892189025879,0.0003,0.1478038877248764,0.1488201916217804,16.28788948059082
664,15936,72.77154373,31,24.0,511,15835,-19.10936164855957,0.0003,0.07551804184913635,0.1486060470342636,56.570556640625
668,16032,71.99363208,31,24.0,514,15931,-14.211833000183105,0.0003,-0.05791492760181427,0.14876490831375122,15.181442260742188
672,16128,71.83470296,31,24.0,517,16027,-11.051897048950195,0.0003,0.05194125697016716,0.15092644095420837,19.61564826965332
676,16224,71.67265349,31,24.0,520,16123,-17.345836639404297,0.0003,-0.0003571361303329468,0.15145047008991241,17.445449829101562
680,16320,71.70242466000002,31,24.0,524,16219,-15.112545013427734,0.0003,0.014333095401525497,0.15081210434436798,49.19142150878906
684,16416,70.60592743000001,31,24.0,527,16315,-15.326987266540527,0.0003,-0.0009534955024719238,0.15030360221862793,50.86681365966797
688,16512,70.9835207,31,24.0,530,16411,-12.171470642089844,0.0003,-0.3068059980869293,0.14930233359336853,15.471626281738281
692,16608,71.09230122000001,31,24.0,533,16507,-12.140677452087402,0.0003,-0.21666449308395386,0.14875714480876923,14.556769371032715
696,16704,71.68108498,31,24.0,536,16603,-15.324325561523438,0.0003,-0.09199413657188416,0.14911043643951416,10.93086051940918
700,16800,72.20620992999999,31,24.0,539,16699,-13.05615234375,0.0003,0.39132019877433777,0.14933936297893524,39.753623962402344
704,16896,71.3625308,31,24.0,542,16795,-16.07390785217285,0.0003,-0.019944842904806137,0.15084412693977356,14.796117782592773
708,16992,70.62205098999999,31,24.0,545,16891,-18.057376861572266,0.0003,0.15191161632537842,0.14944927394390106,17.484333038330078
712,17088,70.85592677,31,24.0,548,16987,-14.868974685668945,0.0003,-0.05162326246500015,0.14982309937477112,40.10298156738281
716,17184,70.64464265000001,31,24.0,551,17083,-13.480969429016113,0.0003,0.194693461060524,0.1494913101196289,34.875999450683594
720,17280,69.80822876,31,24.0,554,17179,-13.773494720458984,0.0003,0.09625972807407379,0.148546501994133,22.89889907836914
724,17376,69.5123701,31,24.0,557,17275,-17.564950942993164,0.0003,0.24668624997138977,0.14813923835754395,29.663307189941406
728,17472,69.27215992999999,31,24.0,560,17371,-16.40918731689453,0.0003,0.24885044991970062,0.14802061021327972,10.563968658447266
732,17568,70.69346795,31,24.0,563,17467,-11.489234924316406,0.0003,-0.17502565681934357,0.1485719531774521,11.364967346191406
736,17664,69.57976004999999,31,24.0,567,17563,-15.986618041992188,0.0003,0.036275140941143036,0.14835719764232635,15.125170707702637
740,17760,71.77524778000002,31,24.0,570,17659,-16.702178955078125,0.0003,-0.003064725548028946,0.14833217859268188,15.03380012512207
744,17856,71.24242476,31,24.0,573,17755,-13.948241233825684,0.0003,0.07131976634263992,0.14896829426288605,10.25139045715332
748,17952,70.76931057,31,24.0,576,17851,-15.267086029052734,0.0003,-0.1580118089914322,0.14949440956115723,36.42509841918945
752,18048,68.82489981,31,24.0,579,17947,-13.23012638092041,0.0003,0.06854540854692459,0.15023596584796906,17.764389038085938
756,18144,67.40167464,31,24.0,582,18043,-14.694563865661621,0.0003,-0.15598666667938232,0.15081864595413208,7.865394115447998
760,18240,67.00188227000001,31,24.0,585,18139,-18.07000160217285,0.0003,0.43242591619491577,0.14879904687404633,22.02646255493164
764,18336,67.70477568999999,31,24.0,589,18235,-18.84508514404297,0.0003,0.269746333360672,0.1484648883342743,15.290050506591797
768,18432,67.58545238999999,31,24.0,592,18331,-16.219284057617188,0.0003,-0.11479173600673676,0.1481742560863495,13.531036376953125
772,18528,68.1880582,31,24.0,594,18427,-15.899735450744629,0.0003,-0.049437299370765686,0.14786480367183685,16.292865753173828
776,18624,68.91155210999999,31,24.0,598,18523,-16.205657958984375,0.0003,0.2402665764093399,0.14662234485149384,39.85777282714844
